timestamp,sample_idx,label,fault_active,ho_sr,rsrp,rsrq,sinr,throughput,prb,latency,rrc_sr,rrc_reest,rlf,prach_fail,connected_ues,ul_timing_err,cell_id,run_id,fault_type
2024-01-15T08:00:00,0,NORMAL,0,0.9628,-84.5188,-8.9658,18.1311,0.8778,0.3803,13.5376,0.9865,0.0202,0.0108,0.0117,0.604,0.0499,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.050000,1,NORMAL,0,0.9599,-72.4599,-9.4264,18.6789,0.772,0.435,10.6208,0.9833,0.0205,0.0086,0.015,0.7864,0.0401,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.100000,2,NORMAL,0,0.9645,-82.8681,-7.2558,14.6543,0.7577,0.394,12.8427,0.9822,0.017,0.0123,0.0164,0.6051,0.0475,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.150000,3,NORMAL,0,0.9782,-76.1758,-9.3786,15.945,0.7361,0.3784,8.1611,0.9794,0.0159,0.0098,0.0131,0.6334,0.0627,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.200000,4,NORMAL,0,0.9754,-76.4106,-9.2617,15.4067,0.8354,0.4057,10.8405,0.9809,0.0162,0.009,0.0084,0.7296,0.0447,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.250000,5,NORMAL,0,0.9638,-81.6849,-8.0247,17.015,0.776,0.523,12.5331,0.981,0.0164,0.0098,0.0215,0.6726,0.0569,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.300000,6,NORMAL,0,0.9699,-67.9047,-11.8992,20.0017,0.8587,0.3263,9.343,0.9807,0.0164,0.0066,0.0162,0.7193,0.0608,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.350000,7,NORMAL,0,0.9583,-79.2235,-5.3684,19.9402,0.7866,0.4531,11.9106,0.9876,0.0183,0.0088,0.0074,0.595,0.0432,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.400000,8,NORMAL,0,0.962,-79.6326,-9.0671,13.4568,0.8239,0.4142,6.8844,0.9808,0.0217,0.0064,0.0115,0.644,0.0534,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.450000,9,NORMAL,0,0.9535,-72.2494,-9.6006,17.9462,0.7772,0.3831,8.929,0.9836,0.0281,0.0039,0.0235,0.6292,0.0504,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.500000,10,NORMAL,0,0.9563,-78.8563,-9.0058,14.8629,0.7633,0.3915,17.5523,0.9792,0.0205,0.0087,0.0096,0.7049,0.046,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.550000,11,NORMAL,0,0.9451,-71.7008,-10.2339,14.8567,0.835,0.3957,14.7533,0.9911,0.0168,0.0104,0.0112,0.8286,0.0431,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.600000,12,PRACH_CONGESTION,1,0.9401,-73.4196,-9.3411,17.5458,0.4189,0.4445,27.6674,0.6413,0.0215,0.0089,0.4023,0.5679,0.0561,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.650000,13,PRACH_CONGESTION,1,0.9263,-75.9102,-4.3385,19.4796,0.5149,0.4727,66.1284,0.5698,0.0215,0.0068,0.4243,0.6656,0.0667,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.700000,14,PRACH_CONGESTION,1,0.9261,-70.9753,-8.1947,20.3363,0.5113,0.3281,60.9767,0.7305,0.0186,0.0045,0.4338,0.7104,0.0608,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.750000,15,PRACH_CONGESTION,1,0.904,-78.6845,-8.1118,17.7642,0.5901,0.4106,64.0861,0.6767,0.0163,0.004,0.4048,0.5201,0.0576,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.800000,16,PRACH_CONGESTION,1,0.9249,-67.0094,-7.5666,13.7495,0.6215,0.3778,42.044,0.646,0.0151,0.0077,0.377,0.5906,0.0449,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.850000,17,PRACH_CONGESTION,1,0.9014,-69.6249,-8.0085,20.5782,0.667,0.4069,77.957,0.696,0.02,0.0105,0.3109,0.5959,0.0443,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.900000,18,PRACH_CONGESTION,1,0.8979,-78.1131,-11.578,21.0214,0.6653,0.3991,73.1045,0.6522,0.0119,0.0047,0.326,0.6656,0.0445,Cell-24,34,PRACH_CONGESTION
2024-01-15T08:00:00.950000,19,PRACH_CONGESTION,1,0.883,-67.1882,-6.222,23.1916,0.6017,0.5126,59.1092,0.5374,0.028,0.0095,0.3629,0.6631,0.044,Cell-24,34,PRACH_CONGESTION
