timestamp,sample_idx,label,fault_active,ho_sr,rsrp,rsrq,sinr,throughput,prb,latency,rrc_sr,rrc_reest,rlf,prach_fail,connected_ues,ul_timing_err,cell_id,run_id,fault_type
2024-01-15T08:00:00,0,NORMAL,0,0.9624,-72.3763,-4.8201,13.8191,0.6645,0.4386,11.0034,0.9856,0.0199,0.0099,0.0136,0.5533,0.0421,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.050000,1,NORMAL,0,0.9637,-81.2749,-8.0737,18.1823,0.7514,0.4346,7.1572,0.9802,0.0143,0.0106,0.0265,0.5795,0.0476,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.100000,2,NORMAL,0,0.9595,-73.8939,-9.2168,18.8483,0.8332,0.3343,12.8145,0.976,0.0187,0.007,0.0139,0.625,0.0451,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.150000,3,NORMAL,0,0.9629,-73.8093,-7.4675,18.3456,0.7341,0.4956,16.5761,0.9786,0.0208,0.0066,0.0196,0.649,0.0505,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.200000,4,NORMAL,0,0.969,-76.4877,-4.645,19.5292,0.8545,0.4046,11.6314,0.9891,0.0236,0.0043,0.0156,0.6879,0.0487,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.250000,5,NORMAL,0,0.968,-75.44,-12.4935,14.0673,0.858,0.4029,12.5691,0.985,0.0159,0.0066,0.0166,0.6845,0.0719,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.300000,6,NORMAL,0,0.9612,-66.6468,-9.7208,19.4658,0.7942,0.4112,11.983,0.9819,0.0245,0.0055,0.0166,0.7105,0.0638,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.350000,7,NORMAL,0,0.9728,-72.1379,-9.2755,15.6427,0.6889,0.3336,11.9958,0.9814,0.026,0.0063,0.0155,0.6288,0.036,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.400000,8,NORMAL,0,0.9737,-71.5226,-6.379,19.7848,0.7192,0.3682,13.356,0.9927,0.0219,0.0109,0.0124,0.7378,0.0458,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.450000,9,NORMAL,0,0.9669,-76.8308,-6.2217,20.7083,0.6619,0.5128,19.1292,0.9832,0.0194,0.0117,0.0153,0.6497,0.069,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.500000,10,NORMAL,0,0.9542,-78.9448,-7.1644,13.1414,0.7502,0.3932,14.8853,0.9885,0.0116,0.0059,0.0115,0.6327,0.039,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.550000,11,TIMING_DRIFT,1,0.8278,-72.0569,-8.0057,13.1632,0.7079,0.4033,8.8311,0.9904,0.0241,0.0718,0.0173,0.556,0.3813,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.600000,12,TIMING_DRIFT,1,0.8153,-70.47,-11.5091,15.6874,0.6703,0.3935,9.5541,0.99,0.0225,0.1047,0.0128,0.6499,0.476,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.650000,13,TIMING_DRIFT,1,0.8281,-78.2728,-7.4726,13.5092,0.5387,0.5734,10.4656,0.9902,0.021,0.0654,0.0192,0.6539,0.4493,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.700000,14,TIMING_DRIFT,1,0.8194,-75.7645,-8.8398,12.0851,0.6216,0.4128,13.2333,0.9862,0.0205,0.1122,0.009,0.6245,0.3584,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.750000,15,TIMING_DRIFT,1,0.8637,-70.2155,-5.7605,11.8885,0.6024,0.3439,6.631,0.9873,0.0138,0.0994,0.0218,0.6525,0.4607,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.800000,16,TIMING_DRIFT,1,0.7919,-70.5593,-6.6625,12.9238,0.5702,0.505,10.3974,0.9765,0.0324,0.0822,0.0209,0.7247,0.4263,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.850000,17,TIMING_DRIFT,1,0.883,-83.6004,-7.551,15.2936,0.643,0.4052,11.9916,0.9866,0.0191,0.0881,0.0161,0.6208,0.2579,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.900000,18,TIMING_DRIFT,1,0.8817,-81.6892,-9.3509,16.6133,0.5937,0.4487,12.1504,0.9836,0.0219,0.0508,0.0104,0.5662,0.4561,Cell-39,121,TIMING_DRIFT
2024-01-15T08:00:00.950000,19,TIMING_DRIFT,1,0.8542,-72.3962,-6.4871,13.7514,0.6375,0.5733,12.0238,0.9869,0.0195,0.0878,0.0128,0.6642,0.431,Cell-39,121,TIMING_DRIFT
